Line,Open Date,Station
METRO 1,19 July 1900,25
METRO 2,13 December 1900,25
METRO 3,19 October 1904,25
METRO 4,21 April 1908,29
METRO 5,6 June 1906,22
METRO 6,1 March 1909,28
METRO 7,5 November 1910,38
METRO 7bis,1967,8
METRO 8,13 July 1913,38
METRO 9,8 November 1922,37
METRO 10,30 December 1923,23
METRO 11,28 April 1935,13
METRO 12,5 November 1910,31
METRO 13,26 February 1911,32
METRO 3bis,27 March 1971,4
METRO 14,15 October 1998,13
RER A,8 December 1977,46
RER B,8 December 1977,47
RER C,26 September 1979,84
RER D,27 September 1987,59
RER E,14 July 1999,22
